Nameoforg,OGRN,INN,Orgaddr,Productmanufaddress,Regnumber,Ektrudp,Docdate,Docvalidtill,Enddate,Registernumber,Productname,OKPD2,TNVED,Nameofregulations,Score,Percentage,Scoredesc,Iselectronicproduct,Isai,ElectronicProductLevel,Docname,Docdatebasis,Docnum,Docvalidtilltpp,Mptdep,Resdocnum
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\104\2023,-,2023-05-24,2026-05-23,-,10115876,Передвижной мусорный контейнер 1100л  Арт.22.C19 (20.800.30.PE; 21.050.30.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\111\2023,-,2023-05-24,2026-05-23,-,10115877,Передвижной мусорный контейнер 1100л  Арт.22.C21 (20.800.40.PE; 21.050.40.PE) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\8\2023,-,2023-05-24,2026-05-23,-,10115878,Передвижной мусорный контейнер 120л  Арт.23.C21 (20.801.40.PE; 21.051.40.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\10\2023,-,2023-05-24,2026-05-23,-,10115879,Передвижной мусорный контейнер 120л  Арт.23.C29 (20.801.60.PE; 21.051.60),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\30\2023,-,2023-05-24,2026-05-23,-,10115880,Передвижной мусорный контейнер 240л  Арт.24.C21 (20.802.70.PE; 21.052.70.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\83\2023,-,2023-05-24,2026-05-23,-,10115881,Передвижной мусорный контейнер 770л Арт.26.C19.H (20.804.20.PE; 21.053.20.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\68\2023,-,2023-05-24,2026-05-23,-,10115882,Передвижной мусорный контейнер 660л Арт.25.C19.V/1 (20.803.30.PE; 21.053.30.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\65\2023,-,2023-05-24,2026-05-23,-,10115883,Передвижной мусорный контейнер 660л Арт.25.C19.V/1 (20.803.20.PE; 21.053.20.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\3\2023,-,2023-05-24,2026-05-23,-,10115884,Передвижной мусорный контейнер 120л  Арт.23.C29.V/1 (20.801.20.PE; 21.051.20.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\66\2023,-,2023-05-24,2026-05-23,-,10115885,Передвижной мусорный контейнер 660л Арт.25.C19.Н (20.803.20.PE; 21.053.20.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\126\2023,-,2023-05-24,2026-05-23,-,10115886,Передвижной мусорный контейнер 1100л  Арт.22.C19.V (20.800.98.PE; 21.050.98.PE.V),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\61\2023,-,2023-05-24,2026-05-23,-,10115887,Передвижной мусорный контейнер 360л  Арт.28.C29.H (20.806.98.PE; 21.055.98.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\40\2023,-,2023-05-24,2026-05-23,-,10115888,Передвижной мусорный контейнер 360л  Арт.28.C29 (20.806.30.PE; 21.055.30.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\39\2023,-,2023-05-24,2026-05-23,-,10115889,Передвижной мусорный контейнер 360л  Арт.28.C82.H (20.806.20.PE; 21.055.20.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\115\2023,-,2023-05-24,2026-05-23,-,10115890,Передвижной мусорный контейнер 1100л  Арт.22.C19.H (20.800.40.PE; 21.050.40.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\101\2023,-,2023-05-24,2026-05-23,-,10115891,Передвижной мусорный контейнер 1100л  Арт.22.C19.V (20.800.70.PE; 21.050.70.PE.V),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\112\2023,-,2023-05-24,2026-05-23,-,10115892,Передвижной мусорный контейнер 1100л  Арт.22.C19.V/1 (20.800.40.PE; 21.050.40.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\55\2023,-,2023-05-24,2026-05-23,-,10115893,Передвижной мусорный контейнер 360л  Арт.28.C29.V/1 (20.806.70.PE; 21.055.70.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\98\2023,-,2023-05-24,2026-05-23,-,10115894,Передвижной мусорный контейнер 1100л  Арт.22.C19 (20.800.20.PE; 21.050.20.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\99\2023,-,2023-05-24,2026-05-23,-,10115895,Передвижной мусорный контейнер 1100л  Арт.22.C21 (20.800.20.PE; 21.050.20.PE) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\100\2023,-,2023-05-24,2026-05-23,-,10115896,Передвижной мусорный контейнер 1100л  Арт.22.C19.V/1 (20.800.70.PE; 21.050.70.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\131\2023,-,2023-05-24,2026-05-23,-,10115897,Передвижной мусорный контейнер 1100л  Арт.22.C19.V (20.800.20.PE; 21.050.20.PE.V),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\107\2023,-,2023-05-24,2026-05-23,-,10115898,Передвижной мусорный контейнер 1100л  Арт.22.C19.V/1 (20.800.30.PE; 21.050.30.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\106\2023,-,2023-05-24,2026-05-23,-,10115899,Передвижной мусорный контейнер 1100л  Арт.22.C19.V (20.800.30.PE; 21.050.30.PE.V),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\13\2023,-,2023-05-24,2026-05-23,-,10115900,Передвижной мусорный контейнер 120л  Арт.23.C21 (20.801.70.PE; 21.051.70.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\32\2023,-,2023-05-24,2026-05-23,-,10115901,Передвижной мусорный контейнер 240л  Арт.24.C29 (20.802.98.PE; 21.052.98),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\96\2023,-,2023-05-24,2026-05-23,-,10115902,Передвижной мусорный контейнер 770л Арт.26.C19.V/1 (20.804.98.PE; 21.053.98.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\86\2023,-,2023-05-24,2026-05-23,-,10115903,Передвижной мусорный контейнер 770л Арт.26.C19.H (20.804.30.PE; 21.053.30.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\87\2023,-,2023-05-24,2026-05-23,-,10115904,Передвижной мусорный контейнер 770л Арт.26.C19 (20.804.40.PE; 21.053.40.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\84\2023,-,2023-05-24,2026-05-23,-,10115905,Передвижной мусорный контейнер 770л Арт.26.C19 (20.804.30.PE; 21.053.30.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\82\2023,-,2023-05-24,2026-05-23,-,10115906,Передвижной мусорный контейнер 770л Арт.26.C19.V/1 (20.804.20.PE; 21.053.20.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\81\2023,-,2023-05-24,2026-05-23,-,10115907,Передвижной мусорный контейнер 770л Арт.26.C19 (20.804.20.PE; 21.053.20.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\74\2023,-,2023-05-24,2026-05-23,-,10115908,Передвижной мусорный контейнер 660л Арт.25.C19.V/1 (20.803.60.PE; 21.053.60.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\69\2023,-,2023-05-24,2026-05-23,-,10115909,Передвижной мусорный контейнер 660л Арт.25.C19.Н (20.803.30.PE; 21.053.30.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\72\2023,-,2023-05-24,2026-05-23,-,10115910,Передвижной мусорный контейнер 660л Арт.25.C19.Н (20.803.40.PE; 21.053.40.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
